S No,Fuel Type,Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2010,,,,,,,,,,,,,,,,,,2011,,,,,,,,,,,,,,,,,,2012,,,,,,,,,,,,,,,,,,2013,,,,,,,,,,,,,,,,,,2014,,,,,,,,,,,,,,,,,,2015,,,,,,,,,,,,,,,,,,2016,,,,,,,,,,,,,,,,,,2017,,,,,,,,,,,,,,,,,,2018,,,,,,,,,,,,,,,,,,2019,,,,,,,,,,,,,,,,,,2020,,,,,,,,,,,,,,,,,,2021,,,,,,,,,,,,,,,,,,2022,,,,,,,,,,,,,,,,,,2023,,,,,,,,,,,,,,,,,,2024,,,,,,,,,,,,,,,,,
,,Vehicle Category,,,,,,,,,,,,,,,,,,Vehicle Category,,,,,,,,,,,,,,,,,,Vehicle Category,,,,,,,,,,,,,,,,,,Vehicle Category,,,,,,,,,,,,,,,,,,Vehicle Category,,,,,,,,,,,,,,,,,,Vehicle Category,,,,,,,,,,,,,,,,,,Vehicle Category,,,,,,,,,,,,,,,,,,Vehicle Category,,,,,,,,,,,,,,,,,,Vehicle Category,,,,,,,,,,,,,,,,,,Vehicle Category,,,,,,,,,,,,,,,,,,Vehicle Category,,,,,,,,,,,,,,,,,,Vehicle Category,,,,,,,,,,,,,,,,,,Vehicle Category,,,,,,,,,,,,,,,,,,Vehicle Category,,,,,,,,,,,,,,,,,,Vehicle Category,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2WIC,2WN,2WT,3WIC,3WN,3WT,4WIC,HGV,HMV,HPV,LGV,LMV,LPV,MGV,MMV,MPV,OTH,Total,2WIC,2WN,2WT,3WIC,3WN,3WT,4WIC,HGV,HMV,HPV,LGV,LMV,LPV,MGV,MMV,MPV,OTH,Total,2WIC,2WN,2WT,3WIC,3WN,3WT,4WIC,HGV,HMV,HPV,LGV,LMV,LPV,MGV,MMV,MPV,OTH,Total ,2WIC,2WN,2WT,3WIC,3WN,3WT,4WIC,HGV,HMV,HPV,LGV,LMV,LPV,MGV,MMV,MPV,OTH,Total,2WIC,2WN,2WT,3WIC,3WN,3WT,4WIC,HGV,HMV,HPV,LGV,LMV,LPV,MGV,MMV,MPV,OTH,Total,2WIC,2WN,2WT,3WIC,3WN,3WT,4WIC,HGV,HMV,HPV,LGV,LMV,LPV,MGV,MMV,MPV,OTH,Total,2WIC,2WN,2WT,3WIC,3WN,3WT,4WIC,HGV,HMV,HPV,LGV,LMV,LPV,MGV,MMV,MPV,OTH,Total,2WIC,2WN,2WT,3WIC,3WN,3WT,4WIC,HGV,HMV,HPV,LGV,LMV,LPV,MGV,MMV,MPV,OTH,Total,2WIC,2WN,2WT,3WIC,3WN,3WT,4WIC,HGV,HMV,HPV,LGV,LMV,LPV,MGV,MMV,MPV,OTH,Total ,2WIC,2WN,2WT,3WIC,3WN,3WT,4WIC,HGV,HMV,HPV,LGV,LMV,LPV,MGV,MMV,MPV,OTH,Total,2WIC,2WN,2WT,3WIC,3WN,3WT,4WIC,HGV,HMV,HPV,LGV,LMV,LPV,MGV,MMV,MPV,OTH,Total,2WIC,2WN,2WT,3WIC,3WN,3WT,4WIC,HGV,HMV,HPV,LGV,LMV,LPV,MGV,MMV,MPV,OTH,Total,2WIC,2WN,2WT,3WIC,3WN,3WT,4WIC,HGV,HMV,HPV,LGV,LMV,LPV,MGV,MMV,MPV,OTH,Total,2WIC,2WN,2WT,3WIC,3WN,3WT,4WIC,HGV,HMV,HPV,LGV,LMV,LPV,MGV,MMV,MPV,OTH,Total,2WIC,2WN,2WT,3WIC,3WN,3WT,4WIC,HGV,HMV,HPV,LGV,LMV,LPV,MGV,MMV,MPV,OTH,Total
1,CNG ONLY,0,0,0,0,1,"8,451",0,5,0,"3,002","7,166",778,"4,416",112,0,0,0,"23,931",0,0,0,0,0,"6,910",0,15,0,779,"6,860",721,"4,650",79,0,0,0,"20,014",0,0,0,0,2,"5,570",0,34,0,589,"5,391",701,"2,450",28,0,0,0,"14,765",0,0,0,0,1,"2,811",0,12,0,880,"5,540",210,412,71,0,0,0,"9,937",0,0,0,0,0,"2,583",0,27,0,722,"4,780",185,206,25,0,46,0,"8,574",0,0,0,0,0,"2,947",0,35,0,537,"5,062",402,566,31,0,70,0,"9,650",0,0,0,0,0,985,0,2,0,765,"8,106",125,708,120,0,21,0,"10,832",0,0,0,0,0,15,0,0,0,683,"10,869",6,486,807,0,7,0,"12,873",0,0,0,0,0,10,0,0,0,370,"16,228",7,533,"1,732",0,1,0,"18,881",0,0,0,0,0,2,0,150,0,859,"16,311",8,287,"2,149",0,0,0,"19,766",0,0,0,0,0,"1,755",0,383,0,811,"9,419",2,52,"1,472",0,1,0,"13,895",0,0,0,0,0,"6,523",0,"1,364",0,245,"14,231",1,2,"3,057",0,5,0,"25,428",0,0,0,0,0,"7,747",0,"1,398",0,606,"21,510",2,122,"2,345",0,22,0,"33,752",0,0,0,0,2,"7,230",0,942,0,170,"16,956",0,280,"1,111",0,167,0,"26,858",0,"2,320",0,0,2,"5,744",0,756,0,43,"13,943",1,285,"1,297",0,353,0,"24,744"
2,DIESEL,0,2,0,0,0,0,0,143,0,106,663,"21,067","3,373",419,0,0,0,"25,773",0,1,0,0,0,0,0,288,0,150,"2,396","29,108","4,503",558,0,0,0,"37,004",0,14,0,0,0,0,0,538,0,141,"2,203","35,117","4,575",319,0,0,0,"42,907",0,5,0,0,0,0,0,672,0,43,"1,456","32,208","2,321",215,0,0,0,"36,920",0,3,0,0,0,0,1,619,2,69,"1,071","34,529","2,893",148,0,0,3,"39,338",0,8,0,0,0,0,1,"1,659",6,81,"1,887","37,159","3,839",331,4,0,0,"44,975",0,0,0,0,0,0,4,145,0,7,"1,355","24,606",500,214,20,6,0,"26,857",0,0,0,0,0,0,5,378,0,4,"1,147","34,266","1,270",49,1,0,0,"37,120",0,0,0,0,0,0,12,378,0,0,864,"31,379","1,475",43,21,0,0,"34,172",0,0,0,0,0,0,9,205,0,4,494,"24,289",433,22,2,0,0,"25,458",0,0,0,0,0,0,6,112,0,0,175,"9,960",54,11,33,0,0,"10,351",0,1,0,0,0,0,4,61,0,1,188,"11,722",36,9,0,22,0,"12,044",0,0,0,0,0,0,17,185,0,2,288,"15,019",82,4,0,0,15,"15,612",0,0,0,0,0,0,4,142,0,20,395,"11,677",336,1,1,0,19,"12,595",0,0,0,0,0,0,4,478,0,77,442,"10,340",916,4,1,21,2,"12,285"
3,DIESEL/HYBRID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,261,0,0,0,0,0,261,0,0,0,0,0,0,0,0,0,0,0,"5,126",47,0,0,0,0,"5,173",0,0,0,0,0,0,0,0,0,0,0,"6,593",190,0,0,0,0,"6,783",0,0,0,0,0,0,1,0,0,0,0,"1,886",0,0,0,0,0,"1,887",0,0,0,0,0,0,0,0,0,0,0,766,0,0,0,0,0,766,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,32,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,54
4,ELECTRIC(BOV),0,580,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,614,0,703,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,741,0,352,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,369,0,67,0,0,0,0,0,0,0,0,3,40,5,0,0,0,0,115,0,23,0,0,0,0,0,0,0,0,1,22,0,0,0,0,0,46,0,22,0,0,0,"3,488",0,0,0,0,2,52,0,0,0,0,0,"3,564",0,18,0,0,0,"21,584",2,0,0,0,12,66,4,0,0,0,0,"21,686",0,69,0,0,0,"17,825",0,0,0,0,11,69,68,0,0,0,0,"18,042",2,254,0,0,0,"20,287",0,0,0,0,0,257,151,0,0,0,0,"20,951",0,"1,060",0,0,0,"21,707",0,0,0,0,1,192,260,0,0,1,0,"23,221",0,"1,164",0,0,0,"10,328",0,0,0,0,0,443,442,0,0,0,0,"12,377",0,"7,557",0,0,0,"16,248",0,0,0,30,19,"1,531",425,0,0,1,0,"25,811",0,"34,573",0,0,0,"21,621",1,0,0,399,6,"3,133","2,515",0,0,0,0,"62,248",0,"37,573",0,0,0,"26,343",3,0,0,"1,121",322,"5,861","2,452",0,0,0,0,"73,675",0,"22,849",0,0,0,"38,338",1,0,0,825,579,"3,859","1,423",0,0,0,0,"67,874"
8,PETROL,0,"2,90,725",0,0,1,0,4,0,0,0,55,"78,327",231,0,0,0,0,"3,69,343",0,"3,03,980",0,0,2,0,1,0,0,0,73,"77,246",185,0,0,0,0,"3,81,487",0,"3,11,916",0,0,0,0,3,0,0,0,147,"65,838",104,0,0,0,0,"3,78,008",0,"3,34,657",0,0,0,0,3,0,0,0,127,"59,000",102,0,0,0,0,"3,93,889",0,"3,70,089",0,0,0,0,4,0,0,0,53,"65,508",238,0,0,0,0,"4,35,892",2,"4,22,417",0,0,0,0,22,0,0,0,47,"87,008",264,0,0,0,0,"5,09,760",24,"4,57,049",0,0,0,0,47,0,0,0,33,"89,142","1,055",0,0,0,0,"5,47,350",30,"4,79,721",0,0,0,0,56,0,0,0,53,"1,00,073",264,0,0,0,0,"5,80,197",34,"4,93,550",0,0,0,0,67,0,0,0,20,"93,774",160,0,0,0,0,"5,87,605",60,"4,28,798",0,0,0,0,41,0,0,0,3,"89,014",49,0,0,0,0,"5,17,965",14,"2,77,095",0,0,0,0,35,0,0,0,0,"80,569",29,0,0,0,0,"3,57,742",1,"2,67,999",0,0,0,0,78,0,0,0,0,"94,152",48,0,0,0,0,"3,62,278",1,"3,35,223",0,0,0,0,94,0,0,0,0,"1,13,153",19,0,0,0,0,"4,48,490",1,"3,58,697",0,0,0,0,124,0,0,0,0,"1,16,319",24,0,0,0,0,"4,75,165",1,"4,03,891",0,0,0,0,120,0,0,1,3,"1,09,848",43,0,0,0,0,"5,13,907"
9,PETROL/CNG,0,7,0,0,3,2,0,0,0,0,39,"33,195","1,953",0,0,0,0,"35,199",0,4,0,0,4,14,0,0,0,0,"1,224","39,773","1,857",0,0,0,0,"42,876",0,6,0,0,3,"10,001",1,0,0,0,"1,301","37,511",419,0,0,0,0,"49,242",0,7,0,0,1,"10,971",0,0,0,0,"2,050","31,375","2,040",0,0,0,0,"46,444",0,8,0,0,7,"8,609",0,2,0,0,"3,220","29,647","2,134",0,0,0,0,"43,627",0,5,0,0,22,"17,128",6,0,0,0,"3,453","34,039","4,728",0,0,0,0,"59,381",0,37,0,0,2,"13,692",6,0,0,0,807,"40,834","15,283",0,0,0,0,"70,661",0,0,0,0,4,"11,548",17,0,0,0,4,"36,269","5,948",0,0,0,0,"53,790",0,1,0,0,3,"14,782",9,0,0,0,5,"35,622","6,275",0,0,0,0,"56,697",0,0,0,0,3,"8,714",4,0,0,0,1,"28,914","5,969",0,0,0,0,"43,605",0,0,0,0,0,"1,452",3,0,0,0,1,"20,780","1,588",0,0,0,0,"23,824",0,0,0,0,0,66,3,0,0,0,0,"26,225",734,0,0,0,0,"27,028",0,0,0,0,0,17,24,0,0,0,1,"32,487","2,604",0,0,0,0,"35,133",0,0,0,0,0,7,17,0,0,0,1,"35,612","3,596",0,0,0,0,"39,233",0,0,0,0,0,3,44,0,0,0,14,"40,384","4,692",0,0,0,0,"45,137"
10,PETROL/ETHANOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"6,336",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,336",0,"11,443",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"11,443"
11,PETROL/HYBRID,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,479,12,0,0,0,0,491,0,0,0,0,0,0,0,0,0,0,0,393,19,0,0,0,0,412,0,0,0,0,0,0,1,0,0,0,0,"2,236",0,0,0,0,0,"2,237",0,0,0,0,0,0,5,0,0,0,0,"8,654",0,0,0,0,0,"8,659",0,0,0,0,0,0,1,0,0,0,0,"5,307",0,0,0,0,0,"5,308",0,0,0,0,0,0,4,0,0,0,0,"6,318",0,0,0,0,0,"6,322",0,0,0,0,0,0,1,0,0,0,0,"13,111",5,0,0,0,0,"13,117",0,0,0,0,0,0,3,0,0,0,0,"24,039",11,0,0,0,0,"24,053",0,0,0,0,0,0,10,0,0,0,0,"18,186",3,0,0,0,0,"18,199"
13,PURE EV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"8,687",0,0,0,"2,263",0,0,0,211,24,604,639,0,0,0,0,"12,428"
14,STRONG HYBRID EV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,5,0,0,0,0,"4,977",0,0,0,0,0,"4,982"
15,PLUG-IN HYBRID EV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1